"site","lat","lon","geometry"
"tract_06075011200",37.7929712799282,-122.412733278092,c(-122.412733278092, 37.7929712799282)
"tract_06075011300",37.7946971353018,-122.40934923714,c(-122.40934923714, 37.7946971353018)
"tract_06075011700",37.7904974939086,-122.403474966161,c(-122.403474966161, 37.7904974939086)
"tract_06075011800",37.7933505708621,-122.406164501566,c(-122.406164501566, 37.7933505708621)
"tract_06075012700",37.8047590778398,-122.444772540979,c(-122.444772540979, 37.8047590778398)
"tract_06075013200",37.7936676068508,-122.438745511854,c(-122.438745511854, 37.7936676068508)
"tract_06075012100",37.7888065869604,-122.411888070453,c(-122.411888070453, 37.7888065869604)
"tract_06075015100",37.7874563269156,-122.423425940595,c(-122.423425940595, 37.7874563269156)
"tract_06075015900",37.7833409003447,-122.429342755404,c(-122.429342755404, 37.7833409003447)
"tract_06075016000",37.7823391207594,-122.422491465163,c(-122.422491465163, 37.7823391207594)
"tract_06075016200",37.7771541072889,-122.422880669798,c(-122.422880669798, 37.7771541072889)
"tract_06075016300",37.7760456123167,-122.429550928442,c(-122.429550928442, 37.7760456123167)
"tract_06075016400",37.7750995013439,-122.436972956365,c(-122.436972956365, 37.7750995013439)
"tract_06075015500",37.7850941373527,-122.434131921481,c(-122.434131921481, 37.7850941373527)
"tract_06075015600",37.7782472812417,-122.456426902726,c(-122.456426902726, 37.7782472812417)
"tract_06075016700",37.7703481223516,-122.437735800891,c(-122.437735800891, 37.7703481223516)
"tract_06075990100",37.7621596594364,-122.551862145501,c(-122.551862145501, 37.7621596594364)
"tract_06075020402",37.7528393173125,-122.444412592444,c(-122.444412592444, 37.7528393173125)
"tract_06075980900",37.7456092388769,-122.389464681649,c(-122.389464681649, 37.7456092388769)
"tract_06075011901",37.7904728434539,-122.413914207344,c(-122.413914207344, 37.7904728434539)
"tract_06075012901",37.8019596902619,-122.427249006411,c(-122.427249006411, 37.8019596902619)
"tract_06075015802",37.7780790114844,-122.438502384445,c(-122.438502384445, 37.7780790114844)
"tract_06075031301",37.7193280637287,-122.467866141345,c(-122.467866141345, 37.7193280637287)
"tract_06075031302",37.7133983598105,-122.467103790576,c(-122.467103790576, 37.7133983598105)
"tract_06075032601",37.7624893639487,-122.480798694791,c(-122.480798694791, 37.7624893639487)
"tract_06075032902",37.7526803917647,-122.490646438621,c(-122.490646438621, 37.7526803917647)
"tract_06075047802",37.7774317756496,-122.496323395611,c(-122.496323395611, 37.7774317756496)
"tract_06075012301",37.7859203000289,-122.410745972152,c(-122.410745972152, 37.7859203000289)
"tract_06075023400",37.7215885850939,-122.390058337652,c(-122.390058337652, 37.7215885850939)
"tract_06075025100",37.7439404084331,-122.40769327012,c(-122.40769327012, 37.7439404084331)
