Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
1999-2000,All,20 and over,Non-Hispanic Asian,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Dietary Fiber,18.2,0.7,19.6,16.7,,,,
1999-2000,All,20-29,All,Dietary Fiber,14.3,0.5,13.3,15.2,,,,
1999-2000,All,30-39,All,Dietary Fiber,15.5,0.8,14,17,,,,
1999-2000,All,40-49,All,Dietary Fiber,16.7,0.8,15.2,18.3,,,,
1999-2000,All,50-59,All,Dietary Fiber,16.3,1,14.2,18.3,,,,
1999-2000,All,60-69,All,Dietary Fiber,16.3,0.6,15.1,17.5,,,,
1999-2000,All,70 and over,All,Dietary Fiber,15.5,0.6,14.3,16.7,,,,
1999-2000,Female,19-Feb,All,Dietary Fiber,11.7,0.3,12.3,11.1,,,,
1999-2000,Female,5-Feb,All,Dietary Fiber,10,0.3,9.3,10.7,,,,
1999-2000,Female,11-Jun,All,Dietary Fiber,12.1,0.5,11.2,13,,,,
1999-2000,Female,19-Dec,All,Dietary Fiber,11.7,0.3,11.1,12.3,,,,
1999-2000,Female,20 and over,All,Dietary Fiber,13.9,0.6,15.1,12.8,,,,
1999-2000,Female,20-29,All,Dietary Fiber,12.9,0.6,11.6,14.1,,,,
1999-2000,Female,30-39,All,Dietary Fiber,13.6,1.2,11.3,15.9,,,,
1999-2000,Female,40-49,All,Dietary Fiber,14.9,0.9,13.1,16.7,,,,
1999-2000,Female,50-59,All,Dietary Fiber,14.4,1.3,11.9,16.9,,,,
1999-2000,Female,60-69,All,Dietary Fiber,14.4,0.8,12.8,16.1,,,,
1999-2000,Female,70 and over,All,Dietary Fiber,13.5,0.7,12.2,14.8,,,,
1999-2000,Male,19-Feb,All,Dietary Fiber,14.9,0.8,16.5,13.3,,,,
1999-2000,Male,5-Feb,All,Dietary Fiber,11.5,0.5,10.4,12.5,,,,
1999-2000,Male,11-Jun,All,Dietary Fiber,13.4,0.8,11.9,14.9,,,,
1999-2000,Male,19-Dec,All,Dietary Fiber,14.9,0.8,13.3,16.5,,,,
1999-2000,Male,20 and over,All,Dietary Fiber,17.6,0.5,18.5,16.8,,,,
1999-2000,Male,20-29,All,Dietary Fiber,15.7,0.8,14.2,17.3,,,,
1999-2000,Male,30-39,All,Dietary Fiber,17.6,0.9,15.8,19.3,,,,
1999-2000,Male,40-49,All,Dietary Fiber,18.8,1.1,16.7,20.9,,,,
1999-2000,Male,50-59,All,Dietary Fiber,18.1,1.2,15.8,20.4,,,,
1999-2000,Male,60-69,All,Dietary Fiber,18.4,0.7,17,19.8,,,,
1999-2000,Male,70 and over,All,Dietary Fiber,18.3,0.8,16.7,19.8,,,,
1999-2000,All,19-Feb,All,Iron,15.6,0.6,16.8,14.5,,,,
1999-2000,All,19-Feb,Non-Hispanic White,Iron,16.3,0.8,17.8,14.7,,,,
1999-2000,All,19-Feb,Non-Hispanic Black,Iron,15,0.7,16.3,13.7,,,,
1999-2000,All,19-Feb,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,19-Feb,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,19-Feb,Mexican American,Iron,14.3,0.3,14.8,13.7,,,,
1999-2000,All,5-Feb,All,Iron,12.4,0.4,11.6,13.1,,,,
1999-2000,All,11-Jun,All,Iron,14.5,0.5,13.5,15.5,,,,
1999-2000,All,19-Dec,All,Iron,15.6,0.6,14.5,16.8,,,,
1999-2000,All,20 and over,All,Iron,15.4,0.3,16.1,14.7,,,,
1999-2000,All,20 and over,Non-Hispanic White,Iron,15.9,0.5,16.8,15,,,,
1999-2000,All,20 and over,Non-Hispanic Black,Iron,14.4,0.4,15.2,13.6,,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Iron,14.3,0.4,15.1,13.6,,,,
1999-2000,All,20-29,All,Iron,15.3,0.5,14.4,16.2,,,,
1999-2000,All,30-39,All,Iron,16.1,0.5,15,17.2,,,,
1999-2000,All,40-49,All,Iron,15.2,0.5,14.2,16.1,,,,
1999-2000,All,50-59,All,Iron,15.6,0.7,14.2,17.1,,,,
1999-2000,All,60-69,All,Iron,15,0.4,14.1,15.8,,,,
1999-2000,All,70 and over,All,Iron,14.6,0.5,13.7,15.6,,,,
1999-2000,Female,19-Feb,All,Iron,13,0.5,13.9,12.2,,,,
1999-2000,Female,5-Feb,All,Iron,11.7,0.5,10.8,12.6,,,,
1999-2000,Female,11-Jun,All,Iron,13.4,0.4,12.6,14.2,,,,
1999-2000,Female,19-Dec,All,Iron,13,0.5,12.2,13.9,,,,
1999-2000,Female,20 and over,All,Iron,13.4,0.3,14,12.7,,,,
1999-2000,Female,20-29,All,Iron,13.3,0.6,12.1,14.6,,,,
1999-2000,Female,30-39,All,Iron,13.9,0.5,12.9,14.8,,,,
1999-2000,Female,40-49,All,Iron,13.1,0.6,12,14.3,,,,
1999-2000,Female,50-59,All,Iron,13.7,0.8,12.2,15.3,,,,
1999-2000,Female,60-69,All,Iron,12.7,0.4,12,13.5,,,,
1999-2000,Female,70 and over,All,Iron,12.9,0.5,11.9,13.9,,,,
1999-2000,Male,19-Feb,All,Iron,18.1,0.8,19.7,16.6,,,,
1999-2000,Male,5-Feb,All,Iron,13.1,0.7,11.8,14.4,,,,
1999-2000,Male,11-Jun,All,Iron,15.5,0.9,13.7,17.2,,,,
1999-2000,Male,19-Dec,All,Iron,18.1,0.8,16.6,19.7,,,,
1999-2000,Male,20 and over,All,Iron,17.6,0.4,18.4,16.9,,,,
1999-2000,Male,20-29,All,Iron,17.3,0.8,15.7,18.9,,,,
1999-2000,Male,30-39,All,Iron,18.5,0.8,16.8,20.1,,,,
1999-2000,Male,40-49,All,Iron,17.4,0.6,16.2,18.7,,,,
1999-2000,Male,50-59,All,Iron,17.5,0.9,15.7,19.2,,,,
1999-2000,Male,60-69,All,Iron,17.5,0.9,15.8,19.2,,,,
1999-2000,Male,70 and over,All,Iron,17.1,0.6,16,18.2,,,,
1999-2000,All,19-Feb,All,Potassium,"2,283.10",42.3,"2,366.70","2,199.60",,,,
1999-2000,All,19-Feb,Non-Hispanic White,Potassium,"2,559.10",93,"2,742.80","2,375.30",,,,
1999-2000,All,19-Feb,Non-Hispanic Black,Potassium,"2,146.90",59.3,"2,264.10","2,029.60",,,,
1999-2000,All,19-Feb,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,19-Feb,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,19-Feb,Mexican American,Potassium,"2,280.60",58.5,"2,396.10","2,165.10",,,,
1999-2000,All,5-Feb,All,Potassium,"2,082.70",50.3,"1,983.40","2,182.00",,,,
1999-2000,All,11-Jun,All,Potassium,"2,211.10",55.5,"2,101.40","2,320.70",,,,
1999-2000,All,19-Dec,All,Potassium,"2,440.10",81.2,"2,279.60","2,600.60",,,,
1999-2000,All,20 and over,All,Potassium,"2,778.50",48,"2,873.40","2,683.70",,,,
1999-2000,All,20 and over,Non-Hispanic White,Potassium,"2,892.10",66.2,"3,022.80","2,761.40",,,,
1999-2000,All,20 and over,Non-Hispanic Black,Potassium,"2,385.10",57.4,"2,498.40","2,271.70",,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Potassium,"2,713.30",65.1,"2,841.90","2,584.70",,,,
1999-2000,All,20-29,All,Potassium,"2,622.00",51.3,"2,520.70","2,723.20",,,,
1999-2000,All,30-39,All,Potassium,"2,800.00",89.4,"2,623.40","2,976.60",,,,
1999-2000,All,40-49,All,Potassium,"2,913.20",100,"2,715.60","3,110.70",,,,
1999-2000,All,50-59,All,Potassium,"2,924.00",99.8,"2,726.80","3,121.10",,,,
1999-2000,All,60-69,All,Potassium,"2,813.40",42.2,"2,730.10","2,896.60",,,,
1999-2000,All,70 and over,All,Potassium,"2,564.60",62,"2,442.10","2,687.10",,,,
1999-2000,Female,19-Feb,All,Potassium,"2,093.60",41.5,"2,175.50","2,011.80",,,,
1999-2000,Female,5-Feb,All,Potassium,"1,949.80",57,"1,837.30","2,062.40",,,,
1999-2000,Female,11-Jun,All,Potassium,"2,141.90",83.8,"1,976.30","2,307.40",,,,
1999-2000,Female,19-Dec,All,Potassium,"2,131.60",37.2,"2,058.10","2,205.20",,,,
1999-2000,Female,20 and over,All,Potassium,"2,412.10",61.7,"2,534.00","2,290.20",,,,
1999-2000,Female,20-29,All,Potassium,"2,283.60",77.9,"2,129.70","2,437.60",,,,
1999-2000,Female,30-39,All,Potassium,"2,377.50",100.1,"2,179.70","2,575.30",,,,
1999-2000,Female,40-49,All,Potassium,"2,490.80",100.1,"2,293.00","2,688.60",,,,
1999-2000,Female,50-59,All,Potassium,"2,573.70",130.3,"2,316.30","2,831.00",,,,
1999-2000,Female,60-69,All,Potassium,"2,516.50",63.9,"2,390.20","2,642.90",,,,
1999-2000,Female,70 and over,All,Potassium,"2,279.00",64,"2,152.50","2,405.40",,,,
1999-2000,Male,19-Feb,All,Potassium,"2,463.30",63.2,"2,588.10","2,338.40",,,,
1999-2000,Male,5-Feb,All,Potassium,"2,218.90",81.5,"2,057.90","2,379.90",,,,
1999-2000,Male,11-Jun,All,Potassium,"2,273.00",111.5,"2,052.70","2,493.30",,,,
1999-2000,Male,19-Dec,All,Potassium,"2,735.80",140.6,"2,458.00","3,013.60",,,,
1999-2000,Male,20 and over,All,Potassium,"3,178.60",41.5,"3,260.70","3,096.60",,,,
1999-2000,Male,20-29,All,Potassium,"2,968.00",63.6,"2,842.30","3,093.70",,,,
1999-2000,Male,30-39,All,Potassium,"3,245.40",141.9,"2,965.10","3,525.60",,,,
1999-2000,Male,40-49,All,Potassium,"3,388.20",117.3,"3,156.50","3,619.90",,,,
1999-2000,Male,50-59,All,Potassium,"3,267.90",103,"3,064.50","3,471.30",,,,
1999-2000,Male,60-69,All,Potassium,"3,149.10",96.5,"2,958.50","3,339.70",,,,
1999-2000,Male,70 and over,All,Potassium,"2,966.40",99.3,"2,770.20","3,162.60",,,,
1999-2000,All,19-Feb,All,Saturated Fat,28.9,0.7,27.4,30.3,,,,
1999-2000,All,19-Feb,Non-Hispanic White,Saturated Fat,29.9,1.3,27.3,32.5,,,,
1999-2000,All,19-Feb,Non-Hispanic Black,Saturated Fat,28,0.9,26.3,29.8,,,,
1999-2000,All,19-Feb,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,19-Feb,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,19-Feb,Mexican American,Saturated Fat,25.9,0.8,24.4,27.4,,,,
1999-2000,All,5-Feb,All,Saturated Fat,20.9,0.9,19.2,22.7,,,,
1999-2000,All,11-Jun,All,Saturated Fat,26.7,0.9,24.8,28.5,,,,
1999-2000,All,19-Dec,All,Saturated Fat,28.9,0.7,27.4,30.3,,,,
1999-2000,All,20 and over,All,Saturated Fat,27,0.4,26.3,27.8,,,,
1999-2000,All,20 and over,Non-Hispanic White,Saturated Fat,28.4,0.5,27.5,29.3,,,,
1999-2000,All,20 and over,Non-Hispanic Black,Saturated Fat,24.5,0.7,23.2,25.9,,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Saturated Fat,24.3,0.9,22.6,26.1,,,,
1999-2000,All,20-29,All,Saturated Fat,29.8,0.6,28.7,30.9,,,,
1999-2000,All,30-39,All,Saturated Fat,29.2,0.9,27.4,31,,,,
1999-2000,All,40-49,All,Saturated Fat,28.4,0.9,26.6,30.3,,,,
1999-2000,All,50-59,All,Saturated Fat,26.2,1.2,23.9,28.5,,,,
1999-2000,All,60-69,All,Saturated Fat,23.4,0.9,21.7,25.1,,,,
1999-2000,All,70 and over,All,Saturated Fat,19.5,0.6,18.4,20.6,,,,
1999-2000,Female,19-Feb,All,Saturated Fat,24,0.8,22.5,25.5,,,,
